symbol	decision	v5 boundary	reason
runtime.Command	remove	ThreadService typed methods	generic commands create a second protocol
runtime.AcceptedReceipt	remove	ThreadView	command return values are complete current views
runtime.TurnAdmissionReceipt	remove	ThreadView	canonical acceptance is internal to Send
runtime.ExecutionContext	remove	process-local execution token	run ownership is not a public durable entity
runtime.ThreadTurnProjection	remove	ThreadView	current view replaces materialized projections
runtime.ProjectionDelta	remove	ThreadView	workspace subscription publishes replacement views
runtime.RecoveryHandle	remove	Open hydration	restart recovery is owned by ThreadRuntime
runtime.Events	remove	Subscribe	v5 has no public replay/cursor protocol
runtime.ThreadService	keep	ThreadService	one typed lifecycle boundary
runtime.ThreadView	keep	ThreadView	complete replaceable per-thread presentation
runtime.ThreadSummary	keep	ThreadSummary	workspace catalog presentation only
runtime.SendInput	keep	ThreadService.Send	stable request-key command input
runtime.RespondInput	keep	ThreadService.Respond	approval and user input share one interaction resolution
runtime.CancelInput	keep	ThreadService.Cancel	idempotent cancellation in every known state
runtime.RetryInput	keep	ThreadService.Retry	canonical retry lineage without duplicate user input
runtime.RetryEffectInput	keep	ThreadService.RetryEffect	explicit retry for unknown effect outcomes
runtime.WorkspaceSubscription	keep	ThreadService.Subscribe	one workspace current-view stream without replay metadata
runtime.Event.ThreadUsageTotals	add	runtime.Event	live cumulative usage is published only after the canonical final usage append succeeds
tools.StructuredActivityRow	add	StructuredActivityPayload.Rows	bounded product-neutral structured display content
tools.StructuredActivityRowFormat	add	StructuredActivityPayload.Rows	closed text markdown and code presentation formats
tools.ActivityRendererSubAgentOperation	add	ActivityPresentation	distinguishes management operations from one durable child fact
tools.SubAgentOperationAction	add	SubAgentOperationActivityPayload	closed product-neutral management action vocabulary
tools.SubAgentOperationTarget	add	SubAgentOperationActivityPayload	ordered child identity and bounded display summary
tools.SubAgentOperationActivityPayload	add	ActivityPresentation	preserves exact multi-child operation semantics without label inference
